stock_code,stock_name,as_of_date
000009,中国宝安,2026-04-22
000021,深科技,2026-04-22
000027,深圳能源,2026-04-22
000032,深桑达A,2026-04-22
000034,神州数码,2026-04-22
000039,中集集团,2026-04-22
000050,深天马A,2026-04-22
000060,中金岭南,2026-04-22
000062,深圳华强,2026-04-22
000088,盐田港,2026-04-22
000155,川能动力,2026-04-22
000400,许继电气,2026-04-22
000415,渤海租赁,2026-04-22
000423,东阿阿胶,2026-04-22
000426,兴业银锡,2026-04-22
000429,粤高速A,2026-04-22
000513,丽珠集团,2026-04-22
000519,中兵红箭,2026-04-22
000528,柳工,2026-04-22
000537,绿发电力,2026-04-22
000539,粤电力A,2026-04-22
000559,万向钱潮,2026-04-22
000563,陕国投A,2026-04-22
000582,北部湾港,2026-04-22
000591,太阳能,2026-04-22
000598,兴蓉环境,2026-04-22
000623,吉林敖东,2026-04-22
000629,钒钛股份,2026-04-22
000657,中钨高新,2026-04-22
000683,博源化工,2026-04-22
000703,恒逸石化,2026-04-22
000709,河钢股份,2026-04-22
000723,美锦能源,2026-04-22
000728,国元证券,2026-04-22
000729,燕京啤酒,2026-04-22
000733,振华科技,2026-04-22
000738,航发控制,2026-04-22
000739,普洛药业,2026-04-22
000750,国海证券,2026-04-22
000783,长江证券,2026-04-22
000785,居然智家,2026-04-22
000825,太钢不锈,2026-04-22
000830,鲁西化工,2026-04-22
000831,中国稀土,2026-04-22
000878,云南铜业,2026-04-22
000883,湖北能源,2026-04-22
000887,中鼎股份,2026-04-22
000893,亚钾国际,2026-04-22
000898,鞍钢股份,2026-04-22
000921,海信家电,2026-04-22
000932,华菱钢铁,2026-04-22
000933,神火股份,2026-04-22
000937,冀中能源,2026-04-22
000951,中国重汽,2026-04-22
000958,电投产融,2026-04-22
000959,首钢股份,2026-04-22
000960,锡业股份,2026-04-22
000967,盈峰环境,2026-04-22
000987,越秀资本,2026-04-22
000997,新 大 陆,2026-04-22
001213,中铁特货,2026-04-22
001221,悍高集团,2026-04-22
001286,陕西能源,2026-04-22
001389,广合科技,2026-04-22
001696,宗申动力,2026-04-22
002007,华兰生物,2026-04-22
002008,大族激光,2026-04-22
002025,航天电器,2026-04-22
002032,苏泊尔,2026-04-22
002044,美年健康,2026-04-22
002056,横店东磁,2026-04-22
002064,华峰化学,2026-04-22
002065,东华软件,2026-04-22
002078,太阳纸业,2026-04-22
002080,中材科技,2026-04-22
002085,万丰奥威,2026-04-22
002120,韵达股份,2026-04-22
002126,银轮股份,2026-04-22
002128,电投能源,2026-04-22
002130,沃尔核材,2026-04-22
002131,利欧股份,2026-04-22
002138,顺络电子,2026-04-22
002152,广电运通,2026-04-22
002153,石基信息,2026-04-22
002155,湖南黄金,2026-04-22
002156,通富微电,2026-04-22
002157,正邦科技,2026-04-22
002185,华天科技,2026-04-22
002195,岩山科技,2026-04-22
002202,金风科技,2026-04-22
002203,海亮股份,2026-04-22
002223,鱼跃医疗,2026-04-22
002244,滨江集团,2026-04-22
002261,拓维信息,2026-04-22
002262,恩华药业,2026-04-22
002265,建设工业,2026-04-22
002266,浙富控股,2026-04-22
002271,东方雨虹,2026-04-22
002273,水晶光电,2026-04-22
002281,光迅科技,2026-04-22
002294,信立泰,2026-04-22
002299,圣农发展,2026-04-22
002312,川发龙蟒,2026-04-22
002318,久立特材,2026-04-22
002335,科华数据,2026-04-22
002340,格林美,2026-04-22
002353,杰瑞股份,2026-04-22
002372,伟星新材,2026-04-22
002385,大北农,2026-04-22
002402,和而泰,2026-04-22
002409,雅克科技,2026-04-22
002410,广联达,2026-04-22
002414,高德红外,2026-04-22
002423,中粮资本,2026-04-22
002429,兆驰股份,2026-04-22
002430,杭氧股份,2026-04-22
002432,九安医疗,2026-04-22
002436,兴森科技,2026-04-22
002439,启明星辰,2026-04-22
002444,巨星科技,2026-04-22
002461,珠江啤酒,2026-04-22
002465,海格通信,2026-04-22
002472,双环传动,2026-04-22
002500,山西证券,2026-04-22
002508,老板电器,2026-04-22
002517,恺英网络,2026-04-22
002532,天山铝业,2026-04-22
002558,巨人网络,2026-04-22
002568,百润股份,2026-04-22
002583,海能达,2026-04-22
002595,豪迈科技,2026-04-22
002603,以岭药业,2026-04-22
002607,中公教育,2026-04-22
002608,江苏国信,2026-04-22
002624,完美世界,2026-04-22
002670,国盛证券,2026-04-22
002673,西部证券,2026-04-22
002683,广东宏大,2026-04-22
002738,中矿资源,2026-04-22
002739,儒意电影,2026-04-22
002756,永兴材料,2026-04-22
002773,康弘药业,2026-04-22
002797,第一创业,2026-04-22
002821,凯莱英,2026-04-22
002831,裕同科技,2026-04-22
002837,英维克,2026-04-22
002841,视源股份,2026-04-22
002850,科达利,2026-04-22
002851,麦格米特,2026-04-22
002926,华西证券,2026-04-22
002939,长城证券,2026-04-22
002945,华林证券,2026-04-22
002958,青农商行,2026-04-22
002966,苏州银行,2026-04-22
002984,森麒麟,2026-04-22
003021,兆威机电,2026-04-22
003022,联泓新科,2026-04-22
003031,中瓷电子,2026-04-22
003035,南网能源,2026-04-22
300001,特锐德,2026-04-22
300002,神州泰岳,2026-04-22
300003,乐普医疗,2026-04-22
300012,华测检测,2026-04-22
300017,网宿科技,2026-04-22
300024,机器人,2026-04-22
300037,新宙邦,2026-04-22
300054,鼎龙股份,2026-04-22
300058,蓝色光标,2026-04-22
300070,碧水源,2026-04-22
300073,当升科技,2026-04-22
300100,双林股份,2026-04-22
300115,长盈精密,2026-04-22
300136,信维通信,2026-04-22
300140,节能环境,2026-04-22
300142,沃森生物,2026-04-22
300144,宋城演艺,2026-04-22
300146,汤臣倍健,2026-04-22
300207,欣旺达,2026-04-22
